X:663 Y:482 DeltaX:0 DeltaY:1
X:662 Y:482 DeltaX:-1 DeltaY:0
X:662 Y:483 DeltaX:0 DeltaY:1
X:661 Y:483 DeltaX:-1 DeltaY:0
X:661 Y:484 DeltaX:0 DeltaY:1
X:660 Y:484 DeltaX:-1 DeltaY:0
X:659 Y:484 DeltaX:-1 DeltaY:0
X:658 Y:484 DeltaX:-1 DeltaY:0
X:657 Y:484 DeltaX:-1 DeltaY:0
X:656 Y:484 DeltaX:-1 DeltaY:0
X:655 Y:484 DeltaX:-1 DeltaY:0
X:654 Y:483 DeltaX:-1 DeltaY:-1
X:653 Y:482 DeltaX:-1 DeltaY:-1
X:652 Y:482 DeltaX:-1 DeltaY:0
X:652 Y:481 DeltaX:0 DeltaY:-1
X:651 Y:481 DeltaX:-1 DeltaY:0
X:651 Y:480 DeltaX:0 DeltaY:-1
X:650 Y:480 DeltaX:-1 DeltaY:0
X:650 Y:479 DeltaX:0 DeltaY:-1
X:649 Y:478 DeltaX:-1 DeltaY:-1
X:648 Y:478 DeltaX:-1 DeltaY:0
X:647 Y:477 DeltaX:-1 DeltaY:-1
X:646 Y:475 DeltaX:-1 DeltaY:-2
X:645 Y:475 DeltaX:-1 DeltaY:0
X:645 Y:474 DeltaX:0 DeltaY:-1
X:644 Y:473 DeltaX:-1 DeltaY:-1
X:643 Y:472 DeltaX:-1 DeltaY:-1
X:642 Y:472 DeltaX:-1 DeltaY:0
X:642 Y:471 DeltaX:0 DeltaY:-1
X:641 Y:469 DeltaX:-1 DeltaY:-2
X:640 Y:468 DeltaX:-1 DeltaY:-1
X:640 Y:467 DeltaX:0 DeltaY:-1
X:639 Y:466 DeltaX:-1 DeltaY:-1
X:639 Y:464 DeltaX:0 DeltaY:-2
X:637 Y:463 DeltaX:-2 DeltaY:-1
X:637 Y:461 DeltaX:0 DeltaY:-2
X:636 Y:460 DeltaX:-1 DeltaY:-1
X:635 Y:458 DeltaX:-1 DeltaY:-2
X:634 Y:457 DeltaX:-1 DeltaY:-1
X:633 Y:456 DeltaX:-1 DeltaY:-1
X:633 Y:455 DeltaX:0 DeltaY:-1
X:632 Y:453 DeltaX:-1 DeltaY:-2
X:632 Y:451 DeltaX:0 DeltaY:-2
X:631 Y:451 DeltaX:-1 DeltaY:0
X:630 Y:449 DeltaX:-1 DeltaY:-2
X:630 Y:448 DeltaX:0 DeltaY:-1
X:629 Y:446 DeltaX:-1 DeltaY:-2
X:628 Y:445 DeltaX:-1 DeltaY:-1
X:627 Y:443 DeltaX:-1 DeltaY:-2
X:627 Y:442 DeltaX:0 DeltaY:-1
X:626 Y:440 DeltaX:-1 DeltaY:-2
X:625 Y:439 DeltaX:-1 DeltaY:-1
X:625 Y:438 DeltaX:0 DeltaY:-1
X:624 Y:436 DeltaX:-1 DeltaY:-2
X:623 Y:435 DeltaX:-1 DeltaY:-1
X:623 Y:433 DeltaX:0 DeltaY:-2
X:621 Y:432 DeltaX:-2 DeltaY:-1
X:621 Y:431 DeltaX:0 DeltaY:-1
X:620 Y:428 DeltaX:-1 DeltaY:-3
X:620 Y:427 DeltaX:0 DeltaY:-1
X:619 Y:426 DeltaX:-1 DeltaY:-1
X:618 Y:424 DeltaX:-1 DeltaY:-2
X:617 Y:424 DeltaX:-1 DeltaY:0
X:617 Y:423 DeltaX:0 DeltaY:-1
X:617 Y:421 DeltaX:0 DeltaY:-2
X:616 Y:420 DeltaX:-1 DeltaY:-1
X:615 Y:419 DeltaX:-1 DeltaY:-1
X:615 Y:418 DeltaX:0 DeltaY:-1
X:615 Y:416 DeltaX:0 DeltaY:-2
X:614 Y:415 DeltaX:-1 DeltaY:-1
X:614 Y:414 DeltaX:0 DeltaY:-1
X:614 Y:413 DeltaX:0 DeltaY:-1
X:614 Y:412 DeltaX:0 DeltaY:-1
X:614 Y:411 DeltaX:0 DeltaY:-1
X:614 Y:410 DeltaX:0 DeltaY:-1
X:614 Y:409 DeltaX:0 DeltaY:-1
X:614 Y:408 DeltaX:0 DeltaY:-1
X:614 Y:407 DeltaX:0 DeltaY:-1
X:614 Y:406 DeltaX:0 DeltaY:-1
X:614 Y:405 DeltaX:0 DeltaY:-1
X:615 Y:405 DeltaX:1 DeltaY:0
X:616 Y:405 DeltaX:1 DeltaY:0
X:616 Y:404 DeltaX:0 DeltaY:-1
X:616 Y:403 DeltaX:0 DeltaY:-1
X:617 Y:403 DeltaX:1 DeltaY:0
X:617 Y:402 DeltaX:0 DeltaY:-1
X:618 Y:402 DeltaX:1 DeltaY:0
X:204 Y:205 DeltaX:-414 DeltaY:-197
X:661 Y:312 DeltaX:457 DeltaY:107
X:663 Y:312 DeltaX:2 DeltaY:0
X:664 Y:312 DeltaX:1 DeltaY:0
X:665 Y:313 DeltaX:1 DeltaY:1
X:666 Y:313 DeltaX:1 DeltaY:0
X:667 Y:313 DeltaX:1 DeltaY:0
X:632 Y:329 DeltaX:-35 DeltaY:16
X:632 Y:331 DeltaX:0 DeltaY:2
X:632 Y:332 DeltaX:0 DeltaY:1
X:632 Y:333 DeltaX:0 DeltaY:1
X:632 Y:331 DeltaX:0 DeltaY:-2
X:631 Y:331 DeltaX:-1 DeltaY:0
X:632 Y:331 DeltaX:1 DeltaY:0
X:630 Y:334 DeltaX:-2 DeltaY:3
X:630 Y:335 DeltaX:0 DeltaY:1
X:628 Y:337 DeltaX:-2 DeltaY:2
X:627 Y:334 DeltaX:-1 DeltaY:-3
X:626 Y:334 DeltaX:-1 DeltaY:0
X:629 Y:333 DeltaX:3 DeltaY:-1
X:628 Y:331 DeltaX:-1 DeltaY:-2
X:625 Y:332 DeltaX:-3 DeltaY:1
X:624 Y:331 DeltaX:-1 DeltaY:-1
X:623 Y:331 DeltaX:-1 DeltaY:0
X:625 Y:330 DeltaX:2 DeltaY:-1
X:624 Y:331 DeltaX:-1 DeltaY:1
X:623 Y:331 DeltaX:-1 DeltaY:0
X:621 Y:331 DeltaX:-2 DeltaY:0
X:628 Y:329 DeltaX:7 DeltaY:-2
X:625 Y:330 DeltaX:-3 DeltaY:1
X:626 Y:330 DeltaX:1 DeltaY:0
X:625 Y:331 DeltaX:-1 DeltaY:1
